Name,Team,Pos,Points,Goals,Assists,Minutes,Reds,Yellows,Saves,PS,PM,Bonus,CS
Jordy Clasie,SOU,MID,43,0,0,1539,0,5,0,0,0,0,9
Jores Okore,AVL,DEF,29,0,0,1080,0,1,0,0,0,1,3
Jose Fonte,SOU,DEF,127,2,2,3165,1,4,0,0,0,13,11
Jose Luis Mato Sanmartín,STK,FWD,56,4,2,1097,0,0,0,0,0,3,2
Joseph Gomez,LIV,DEF,23,0,1,437,0,3,0,0,0,3,3
Josh Cullen,WHU,MID,1,0,0,1,0,0,0,0,0,0,0
Joshua King,BOU,MID,98,6,3,1914,0,1,0,0,0,7,3
Joshua Onomah,TOT,MID,8,0,0,83,0,0,0,0,0,0,0
José Holebas,WAT,DEF,25,1,0,945,0,2,0,0,0,2,1
João Teixeira,LIV,MID,1,0,0,4,0,0,0,0,0,0,0
Juan Carlos Paredes,WAT,DEF,30,0,1,771,0,1,0,0,0,0,2
Juan Cuadrado,CHE,MID,1,0,0,27,0,0,0,0,0,0,0
Juan Mata,MUN,MID,145,6,6,2889,1,4,0,0,0,15,19
Juanmi,SOU,FWD,12,0,0,173,0,0,0,0,0,0,0
Julian Speroni,CRY,GK,5,0,0,180,0,0,10,0,0,1,0
Junior Stanislas,BOU,MID,65,3,2,1436,0,1,0,0,0,5,5
Jurado,WAT,MID,66,0,3,2008,0,3,0,0,0,2,10
Kasper Schmeichel,LEI,GK,147,0,0,3420,0,2,100,0,0,5,15
Kelechi Iheanacho,MCI,FWD,80,8,2,766,0,1,0,0,0,13,
Kermorgant,AVL,FWD,7,0,0,130,0,0,0,0,0,0,0
Kevin De Bruyne,MCI,MID,131,7,10,2002,0,2,0,0,0,13,8
Kevin Mirallas,EVE,MID,59,4,2,1012,2,0,0,0,0,6,2
Kevin Stewart,LIV,DEF,17,0,0,565,0,1,0,0,0,3,1
Kevin Wimmer,TOT,DEF,33,0,0,812,0,2,0,0,0,1,4
Kieran Gibbs,ARS,DEF,26,1,0,391,0,0,0,0,0,0,1
Kieran Trippier,TOT,DEF,26,1,1,459,0,1,0,0,0,3,1
Klose,NOR,DEF,30,1,0,849,0,3,0,0,0,5,2
Kozák,AVL,FWD,7,0,0,258,0,0,0,0,0,0,2
Kramaric,LEI,FWD,2,0,0,24,0,0,0,0,0,0,0
Kristoffer Nordfeldt,SWA,GK,3,0,0,90,0,0,4,0,0,0,0
Kurt Zouma,CHE,DEF,81,1,1,1918,0,0,0,0,0,7,8
Kyle Naughton,SWA,DEF,65,0,3,1768,1,2,0,0,0,8,4
Kyle Walker,TOT,DEF,121,1,3,2941,0,7,0,0,0,8,12
Lamine Koné,SUN,DEF,60,2,1,1314,0,0,0,0,0,5,4
Laurent Koscielny,ARS,DEF,153,4,0,2845,0,3,0,0,0,18,15
